check,spec,bin_width,n_window,count_below,expected_below,z_below,p_below,count_above,expected_above,z_above,p_above
6.3 size floor,assets >= $50m,0.0025,14929,222,235.5,-0.7400912716109073,0.45924461454256116,272,232.5,2.027178619681757,0.042644148856677604
6.3 size floor,assets >= $50m,0.005,14929,421,448.0,-1.0846226758523005,0.27808880758158483,515,459.5,2.0787227151462173,0.03764284391840587
6.3 size floor,assets >= $50m,0.01,14929,802,836.0,-1.0113937359041159,0.31182801808769745,1013,949.0,1.7364412715324018,0.0824858400854681
6.3 size floor,assets >= $100m,0.0025,14193,211,221.5,-0.591461182806126,0.554211456469244,253,221.0,1.6970721647960314,0.08968301795913487
6.3 size floor,assets >= $100m,0.005,14193,401,419.0,-0.7430655671455425,0.4574419850623209,484,436.0,1.8515006292779408,0.06409756429570283
6.3 size floor,assets >= $100m,0.01,14193,755,784.0,-0.8892482109502602,0.3738696978564634,955,893.5,1.7181437595700688,0.08577039677209741
6.3 size floor,assets >= $500m,0.0025,11384,159,171.5,-0.8069629855992618,0.4196878087065147,194,171.0,1.3904317298650553,0.1643978169063629
6.3 size floor,assets >= $500m,0.005,11384,308,324.0,-0.7522060602657207,0.45192714973652937,377,343.5,1.4608078950582453,0.1440681685673078
6.3 size floor,assets >= $500m,0.01,11384,579,612.0,-1.150551908821302,0.24991662732211872,756,711.5,1.3953504513147892,0.16291018515217148
6.4 placebo,net income,0.0025,16018,246,252.0,-0.31437429083794716,0.7532367799918024,291,252.5,1.906073503595183,0.056640669837196865
6.4 placebo,net income,0.005,16018,459,479.5,-0.7912502450377386,0.4287979764294457,550,496.0,1.9539631288119932,0.05070557782103019
6.4 placebo,net income,0.01,16018,868,898.5,-0.8732789515924076,0.38251105034011335,1083,1017.0,1.7310339492505415,0.08344570958035051
6.4 placebo,cash flow from operations,0.0025,13719,164,157.0,0.4530361905030804,0.6505226817513776,143,151.5,-0.5789062420809278,0.562652438121793
6.4 placebo,cash flow from operations,0.005,13719,335,291.0,2.037938783759103,0.04155605531699004,282,319.0,-1.7878655816582112,0.07379769701182713
6.4 placebo,cash flow from operations,0.01,13719,635,531.5,3.5484201816850454,0.00038754943895948855,585,691.0,-3.592187906610781,0.00032791325734979706
